run_id	timestamp	score	success_rate	cases	golden_failures	fatal	claimed_success_but_failed	wrong_order	schema_error	invalid_args	missing_retry	excess_retry	nonretryable_retried	timeout	recoverable	model_agent	model_optimizer	hypothesis
1776867583-3055b2	2026-04-22T14:19:50.523668+00:00	0	1.0	1	0	0	0	0	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776867825-b05640	2026-04-22T14:23:45.498052+00:00	12560	0.25	16	2	0	5	2	0	0	1	0	0	0	0	glm-5-turbo	glm-5.1	
1776867965-752760	2026-04-22T14:26:05.200483+00:00	13060	0.25	16	2	0	5	3	0	0	1	0	0	0	0	glm-5-turbo	glm-5.1	
1776868100-2965bd	2026-04-22T14:28:21.012851+00:00	11100	0.25	16	2	0	3	3	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776868391-6809ee	2026-04-22T14:33:11.686206+00:00	10100	0.3125	16	2	0	3	2	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776868688-81338f	2026-04-22T14:38:08.794640+00:00	11450	0.3125	16	2	0	4	4	0	1	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776868863-9b58fc	2026-04-22T14:41:03.492009+00:00	14900	0.3125	16	2	0	7	3	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776869141-34b05d	2026-04-22T14:45:41.464316+00:00	9800	0.4375	16	0	0	4	1	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776869340-bee557	2026-04-22T14:49:00.816956+00:00	8600	0.4375	16	0	0	3	1	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776869499-e52435	2026-04-22T14:51:39.584250+00:00	7600	0.5	16	0	0	3	0	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776869941-f270c6	2026-04-22T14:59:01.541156+00:00	6600	0.6875	16	0	0	3	1	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776870107-4c3f29	2026-04-22T15:01:47.147796+00:00	10700	0.625	16	0	0	6	1	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776870272-aa1592	2026-04-22T15:04:32.654348+00:00	2760	0.8125	16	0	0	1	0	0	0	1	0	0	0	0	glm-5-turbo	glm-5.1	
1776870555-5e0a45	2026-04-22T15:09:15.723699+00:00	500	0.9375	16	0	0	0	0	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776870672-4e8f05	2026-04-22T15:11:12.900567+00:00	1000	0.875	16	0	0	0	1	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776870779-41f653	2026-04-22T15:12:59.961200+00:00	500	0.9375	16	0	0	0	0	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776870992-bb2f09	2026-04-22T15:16:32.174861+00:00	500	0.9375	16	0	0	0	0	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776871139-b4d37d	2026-04-22T15:18:59.713607+00:00	500	0.9375	16	0	0	0	0	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
1776871275-28f970	2026-04-22T15:21:15.122509+00:00	560	0.9375	16	0	0	0	0	0	0	1	0	0	0	0	glm-5-turbo	glm-5.1	
1776871275-28f970	2026-04-22T15:25:20.285524+00:00	560	0.9375	16	0	0	0	0	0	0	1	0	0	0	0	glm-5-turbo	glm-5.1	
1776871714-121b8a	2026-04-22T15:28:35.055589+00:00	560	0.9375	16	0	0	0	1	0	0	1	0	0	0	0	glm-5-turbo	glm-5.1	
1776871836-7b5ecd	2026-04-22T15:30:36.693168+00:00	2060	0.8125	16	1	0	0	2	0	0	1	0	0	0	0	glm-5-turbo	glm-5.1	
1777464303-8becb1	2026-04-29T12:05:09.472354+00:00	500	0.9375	16	0	0	0	0	0	0	0	0	0	0	0	glm-5-turbo	glm-5.1	
